url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
ecomplanet.com-1702698154689,0,0,0,0,131782,52120,0
supertvesp.blogspot.com-1702751330038,0,0,0,0,202022,8260,0
kramer-online.com-1702722813101,0,0,0,0,150625,5870,0
korean-bj-legend.com-1702722603336,0,0,0,0,25451,2950,0
juegosfriv2019.com-1702720732360,0,0,0,0,127102,5810,0
uyeshare.com-1702780615751,0,0,0,0,5543,2100,0
visor.gg-1702781699806,0,0,0,0,80002,25070,0
bestself.co-1702629344270,0,0,0,2,25936,2250,1
www.eautouniverse.com-1702786175728,0,0,0,0,332114,22710,0
nuevosrelojes.com-1702734060709,0,0,0,0,46746,2460,0
awesome-go.com-1702621408135,0,0,0,0,35319,2500,0
neats.gr-1702732182773,0,0,0,1,72091,18790,0
thepiratebay.pet-1702772982708,0,0,0,0,24589,2340,0
mysterymeat3translations.blogspot.com-1702731582385,0,0,0,0,96267,25330,0
androidlearn1.rozblog.com-1702618937752,0,0,0,1,111013,5500,0
pinkspage.com-1702738300933,0,0,0,0,60781,6000,0
footballtips.com-1702708002981,0,0,0,0,22757,3110,0
3m.com-1702615757741,0,0,0,0,24755,4870,0
justhodl.blogspot.com-1702720885849,0,0,0,1,20695,3160,0
paisdelosjuegos.com.ec-1702736145038,0,0,0,0,5092,2380,0
ultimateclixx.com-1702779322995,0,0,0,0,7310,3510,0
gelovenleren.net-1702710441306,0,0,0,0,185971,25230,0
blackswanoldstead.co.uk-1702630419013,0,0,0,0,349265,10260,0
games-horror.com__pocket-rogues-ultimate-1702709896715,0,0,0,0,47550,29460,0
mci.ir-1702727299889,0,0,0,0,18082,2280,0
aa1car.com-1702616191061,0,0,0,0,77286,4590,0
elimu.co.ke-1702704363138,0,0,0,1,20545,2600,0
parimatch.com-1702736427743,0,0,0,0,107293,45210,0
mirror.cat-1702728996393,0,0,0,0,48339,3430,0
ushahidi.com-1702780452918,1,0,0,0,20574,2180,0
scor-pal.com-1702745942591,0,0,0,0,169212,11320,0
johanneslinstead.com-1702720233721,0,0,0,0,135900,7590,0
semeistvo.by-1702746178685,0,0,0,1,20455,2920,0
summon-helper.net-1702750968198,0,0,0,0,19549,2400,0
teamnl.org-1702752758950,0,0,0,0,209503,11070,0
joaobidu.com.br-1702719983473,0,0,0,2,175825,6690,0
versuri-si-creatii.ro-1702781034635,0,0,0,0,97305,51810,0
rarecollectiblestv.com-1702743112412,0,0,0,0,19944,2660,0
poki.ro-1702740072975,0,0,0,0,88943,33970,0
pokemongoinformer.com-1702739884516,0,0,0,0,44846,2670,0
mobileworldcongress.com-1702729626897,0,0,0,0,239000,16860,0
topweddingquestions.com-1702777185276,0,0,0,0,25135,2520,0
sophos.com-1702748982634,0,0,0,0,163201,7510,0
games-horror.com__zombeat-io__-1702709999621,0,0,0,0,51165,37480,0
sodvi.com-1702748607474,0,0,0,0,117090,24140,0
promocodenow.co-1702741378676,0,0,0,0,33099,2760,0
nahnoji.cz-1702731705641,0,0,0,0,140902,30170,0
shooters.io-1702747362566,0,0,0,0,350185,31520,0
celebrities-galore.com-1702633658590,0,0,0,0,341506,32510,0
myozarksonline.com-1702731421200,0,0,0,0,46316,30330,0
telegramm-online.ru-1702753237003,0,0,0,0,227968,29780,0
okmagazine.ge-1702734643467,0,0,0,1,509046,42950,0
chairigami.com-1702633914142,0,0,0,1,99486,6030,1
rovegas.com-1702744630024,0,0,0,0,42336,25320,0
guidexpro.com-1702714214807,0,0,0,0,419591,27510,0
cg17.fr-1702633854107,0,0,0,0,91570,2460,0
